Ticker,estado,insider_compras,insider_vendas,accoes_compradas,accoes_vendidas,saldo_insider,transaccoes_nao_abertas_ignoradas,janela_insider_desde,formularios_diluicao,risco_diluicao,planos_empregados
AQST,OK,0,2,0,25000,-25000,0,2026-06-29,S-3,True,S-8
AVIR,OK,0,0,0,0,0,0,2026-06-29,-,False,-
BOOM,OK,0,0,0,0,0,3,2026-06-29,-,False,S-8
BTMD,OK,0,0,0,0,0,0,2026-06-29,-,False,S-8
BYRN,OK,12,0,109137,0,109137,2,2026-06-29,-,False,-
CRDL,OK,0,0,0,0,0,0,2026-06-29,-,False,-
DMAC,OK,0,0,0,0,0,0,2026-06-29,-,False,-
DTI,OK,0,0,0,0,0,0,2026-06-29,-,False,-
ENGS,OK,0,0,0,0,0,0,2026-06-29,-,False,-
EPRX,OK,0,0,0,0,0,0,2026-06-29,-,False,S-8
FIP,OK,0,0,0,0,0,1,2026-06-29,S-3ASR,True,-
GAU,OK,0,0,0,0,0,0,2026-06-29,-,False,-
GTE,OK,0,0,0,0,0,12,2026-06-29,-,False,-
HDSN,OK,7,0,834986,0,834986,0,2026-06-29,-,False,-
INVE,OK,0,0,0,0,0,2,2026-06-29,-,False,-
JELD,OK,0,1,0,1208,-1208,0,2026-06-29,-,False,S-8
MBI,OK,0,0,0,0,0,0,2026-06-29,-,False,-
NRXS,OK,0,0,0,0,0,0,2026-06-29,424B5,True,-
RBBN,OK,0,0,0,0,0,2,2026-06-29,-,False,-
SEER,OK,0,1,0,10660,-10660,0,2026-06-29,-,False,-
SIGA,OK,0,0,0,0,0,0,2026-06-29,-,False,S-8
SNDL,OK,0,0,0,0,0,0,2026-06-29,-,False,-
TOP,OK,0,0,0,0,0,0,2026-06-29,424B5,True,-
UROY,OK,0,0,0,0,0,0,2026-06-29,-,False,-
USIO,OK,0,0,0,0,0,0,2026-06-29,-,False,-
WHWK,OK,0,0,0,0,0,0,2026-06-29,S-3,True,S-8
XFOR,OK,0,1,0,8543,-8543,1,2026-06-29,S-3,True,S-8
