Ticker,analistas,analistas_ha_3m,nova_cobertura,resistencia,toques,dist_resistencia_pct,perto_breakout,accoes_compradas,saldo_insider,insider_comprador,n_sinais
BYRN,,,,7.08,2,-38.8,False,109137,109137,True,1
SEER,,,,2.22,4,-6.3,True,0,-10660,False,1
HDSN,,,,6.54,4,-10.7,False,834986,834986,True,1
BOOM,,,,7.76,2,-30.2,False,0,0,False,0
BTMD,,,,2.52,2,-19.0,False,0,0,False,0
CRDL,,,,1.37,3,-16.1,False,0,0,False,0
DMAC,,,,8.01,3,-21.1,False,0,0,False,0
DTI,,,,3.45,3,-33.6,False,0,0,False,0
ENGS,,,,2.97,3,-15.7,False,0,0,False,0
AVIR,,,,5.7,3,-18.9,False,0,0,False,0
AQST,,,,5.03,2,-28.4,False,0,-25000,False,0
FIP,,,,5.54,2,-31.8,False,0,0,False,0
EPRX,,,,7.61,5,-21.6,False,0,0,False,0
GTE,,,,9.51,3,-29.8,False,0,0,False,0
GAU,,,,2.66,4,-34.2,False,0,0,False,0
JELD,,,,2.16,1,-40.7,False,0,-1208,False,0
MBI,,,,6.8,3,-20.7,False,0,0,False,0
NRXS,,,,8.81,3,-31.4,False,0,0,False,0
INVE,,,,5.29,1,-52.0,False,0,0,False,0
RBBN,,,,3.34,1,-34.4,False,0,0,False,0
SIGA,,,,4.8,5,-30.4,False,0,0,False,0
SNDL,,,,1.49,3,-19.5,False,0,0,False,0
TOP,,,,2.81,1,-24.9,False,0,0,False,0
UROY,,,,4.36,1,-30.5,False,0,0,False,0
USIO,,,,2.55,1,-22.7,False,0,0,False,0
WHWK,,,,5.1,1,-28.2,False,0,0,False,0
XFOR,,,,4.67,1,-14.3,False,0,-8543,False,0
