Ticker,MCapM,MCapFinnhubM,SharesOutstandingM,MCapDivergenciaPct,MCapEstado,Pais,Industria,High52,Low52,regime_reporte,Nome,destino,motivo,faltas,Price,AvgVolN,RelVol,TendVol,RSI,SMA20_pct,Eco,Vol20d,High52_pct,Low52_pct,queda_sem_rec
SEER,114.3584,115.05724209345794,54.98,0.6110981733374654,COERENTE,US,Life Sciences Tools & Services,2.41,1.55,10-Q,"Seer, Inc. Class A Common Stock",PASSA_FASE0,,0,2.08,1029278.2841566508,1.777326410256393,2.611914063680655,55.49881003272724,0.3618817852834688,15.982835032083704,114.33341852481784,-13.692946058091293,34.19354838709678,False
SNDL,312.204,312.3599931147541,260.17,0.0499651236864684,COERENTE,CA,Pharmaceuticals,2.89,1.165,20-F,Sundial Growers Inc. Common Shares,PASSA_FASE0,,0,1.2,2123974.2761137937,1.4185454451726036,0.8427810607940229,34.87252304562115,-7.156673114119927,1.6236845475383874,50.91465286137282,-58.47750865051904,3.0042918454935563,False
TOP,78.3021,1305.0925609867256,37.11,1566.7401780881046,DIVERGENTE,HK,Financial Services,3.33,0.612,20-F,TOP Financial Group Limited Class A Ordinary Shares,PASSA_FASE0,,0,2.11,269641.32558995235,1.5678574336817208,1.9866008558463728,54.41953667588106,-1.0318949343339543,5.423719076725368,144.4528961499795,-36.636636636636645,244.77124183006532,False
NRXS,74.7752,75.36294472281776,12.38,0.7860155811254987,COERENTE,US,Health Care,9.33,2.1963,10-Q,"Neuraxis, Inc.",PASSA_FASE0,,0,6.04,119038.22231998414,1.4089208592612184,0.6159059137553303,31.56179777075729,-12.628381310574277,1.0,41.75179507010135,-35.2625937834941,175.00796794609116,False
RBBN,385.7466,385.74455101463417,176.14,0.0005311739275981,COERENTE,US,Communications,4.24,1.8,10-Q,Ribbon Communications Inc. Common Stock,PASSA_FASE0,,0,2.19,927350.8467836032,1.9417179713927424,0.840994774194495,46.9255347165665,0.3896401558560747,1.443033684161294,70.24213955483363,-48.34905660377359,21.666666666666657,False
GAU,457.1175,642.585898,261.21,40.57346262175483,DIVERGENTE,CA,Metals & Mining,4.91,1.77,20-F,Galiano Gold Inc.,PASSA_FASE0,,0,1.75,3060968.9310551584,2.1379033610998377,0.8946455966128859,39.94430005116553,-5.046120455778624,1.0,46.446668912096094,-64.35845213849288,-1.1299435028248594,False
GTE,236.2048,236.20405986854465,35.36,0.0003133431053736,COERENTE,CA,Energy,9.74,3.09,10-Q,Gran Tierra Energy Inc.,PASSA_FASE0,,0,6.68,321755.03870722227,1.3772877754658543,0.8444110396593499,47.71964154621399,1.5506232897537051,1.2624916520200316,70.06348286309476,-31.416837782340867,116.18122977346279,False
ACB,154.8183,237.238416,56.71,53.23667550929056,DIVERGENTE,CA,Pharmaceuticals,9.33,3.59,20-F,Aurora Cannabis Inc. Common Shares,PASSA_FASE0,,0,2.73,994351.203571508,1.312857519582738,1.2026367144192347,45.41540428505703,1.4869888475836257,1.242251938001342,28.73228564473964,-70.7395498392283,-23.955431754874645,False
UROY,444.1677,561.027957,146.59,26.309940367118116,DIVERGENTE,CA,Energy,7.5,3.34,20-F,Uranium Royalty Corp. Common Stock,PASSA_FASE0,,0,3.03,2761208.392128793,2.281209701868165,1.0312470573786676,54.759968576404376,8.243279449852636,1.1193419540101832,68.22333140816546,-59.60000000000001,-9.281437125748504,False
BOOM,110.9474,110.94093570695968,20.47,0.0058264484253722,COERENTE,US,Energy,9.2,4.69,10-Q,DMC Global Inc. Common Stock,PASSA_FASE0,,0,5.42,323428.03432668257,1.6945322624581949,0.6333536991026398,31.18159449565026,-12.524209167204647,1.0,50.44563061547238,-41.086956521739125,15.565031982942411,False
AMIX,52.1437,2.4828909709090907,11.41,95.23836825750936,DIVERGENTE,US,Health Care,32.55,2.44,10-Q,"Autonomix Medical, Inc. Common Stock",PASSA_FASE0,,0,4.57,408244.0328072857,171.6093994993298,2.876584884372845,44.12388324951739,-9.16138265519091,1.0,216.71427829161493,-85.96006144393242,87.29508196721314,False
