Ticker,RVOL,Eco,A,B_rsi,B_macd,B_bounce,C_lat,C_hl,C_coil,dist_res,ext,C2,B,insider,setup
SEER,1.777326410256393,15.982835032083704,True,False,False,False,True,True,False,-6.3063063063063085,0.3618817852834688,True,False,False,3_BASE_A_TESTAR_RESISTENCIA
ULCC,1.2935483901651312,1.048185912104732,False,False,False,True,False,False,False,-19.354838709677423,-2.2593135596406078,False,True,False,9_NAO_CLASSIFICADO
SNDL,1.4185454451726036,1.6236845475383874,True,False,False,False,True,False,False,-19.463087248322154,-7.156673114119927,False,False,False,5_CONTINUACAO_DE_EVENTO
VRRM,3.825422712107015,1.0,True,True,False,True,False,False,True,-65.40027137042063,20.304299109512325,False,True,False,4_EVENTO_UNICO
SOUN,1.5457976903247335,1.0689918890962091,False,False,False,False,False,False,False,-40.80996884735203,-11.809074382083306,False,False,False,9_NAO_CLASSIFICADO
HTZ,1.5299848456272918,1.6992508884080033,True,False,False,False,False,False,True,-74.2283950617284,-13.449080072557674,False,False,False,5_CONTINUACAO_DE_EVENTO
RBBN,1.9417179713927426,1.4430336841612939,True,False,True,False,False,False,False,-34.4311377245509,0.3896401558560747,False,True,False,9_NAO_CLASSIFICADO
GAU,2.1379033610998377,1.0,True,False,False,False,True,False,True,-34.21052631578948,-5.046120455778624,True,False,False,4_EVENTO_UNICO
GTE,1.3772877754658543,1.2624916520200316,False,False,False,False,False,True,False,-29.75814931650894,1.5506232897537053,False,False,False,9_NAO_CLASSIFICADO
ACB,1.3128575195827379,1.2422519380013421,False,True,False,False,True,False,True,-25.61307901907357,1.4869888475836257,True,True,False,9_NAO_CLASSIFICADO
GRAB,1.3780663871902932,1.1954671744576586,True,False,False,False,True,False,False,-14.974619289340097,-8.56986899563319,False,False,False,9_NAO_CLASSIFICADO
TLRY,3.2379650260688924,1.0,True,False,False,False,True,False,False,-32.3728813559322,-6.491680337473616,False,False,False,4_EVENTO_UNICO
