Ticker,na_shortlist,A,B,C,B_rsi,B_macd,B_bounce,C_lateral,C_hl,C_coil,n
CLNE,False,True,False,True,False,False,False,True,True,False,2
STI,False,False,True,True,False,True,False,False,False,True,2
QNC,False,False,False,True,False,False,False,False,False,True,1
THRY,False,False,True,True,False,True,False,True,True,False,2
CING,False,False,False,True,False,False,False,False,False,True,1
SUNE,False,True,False,True,False,False,False,False,True,True,2
ARDX,False,False,True,True,False,True,False,True,False,True,2
POWW,False,True,False,True,False,False,False,True,True,False,2
BATL,False,True,False,True,False,False,False,False,True,False,2
BESS,False,False,False,True,False,False,False,False,False,True,1
FRGT,False,True,False,True,False,False,False,False,False,True,2
RUM,False,False,False,True,False,False,False,False,False,True,1
SEER,True,True,False,True,False,False,False,True,True,False,2
NFGC,False,False,True,False,False,True,False,False,False,False,1
CLOV,False,False,False,False,False,False,False,False,False,False,0
PETS,False,True,False,True,False,False,False,True,True,True,2
AIB,False,True,False,True,False,False,False,False,False,True,2
ONDS,False,True,False,True,False,False,False,False,False,True,2
WRAP,False,True,False,True,False,False,False,False,True,False,2
EZRA,False,True,False,True,False,False,False,False,False,True,2
BBAI,False,False,False,True,False,False,False,False,False,True,1
RXST,False,True,False,True,False,False,False,False,True,False,2
LRHC,False,False,True,False,False,False,True,False,False,False,1
MCRP,False,True,True,True,False,True,False,False,False,True,3
RILY,False,False,True,True,False,True,False,False,False,True,2
RBNE,False,True,True,False,False,True,False,False,False,False,2
CNTN,False,False,False,True,False,False,False,False,False,True,1
PRME,False,True,False,True,False,False,False,False,True,False,2
DRCT,False,False,False,True,False,False,False,False,False,True,1
AZ,False,False,True,True,False,True,False,True,True,False,2
GRDX,False,True,False,False,False,False,False,False,False,False,1
TLS,False,False,False,True,False,False,False,True,True,True,1
GRO,False,False,False,True,False,False,False,True,True,True,1
CRBU,False,False,False,True,False,False,False,False,False,True,1
ALDX,False,True,False,True,False,False,False,True,False,False,2
MDXG,False,False,False,True,False,False,False,True,True,False,1
XWEL,False,True,False,True,False,False,False,True,True,False,2
ENVB,False,False,False,True,False,False,False,False,False,True,1
GSM,False,True,False,True,False,False,False,True,True,True,2
ANTX,False,True,False,True,False,False,False,True,True,True,2
TLSI,False,False,False,True,False,False,False,False,True,True,1
VZLA,False,False,False,True,False,False,False,True,True,True,1
CNCK,False,False,False,True,False,False,False,False,True,False,1
JAGU,True,False,False,True,False,False,False,False,False,True,1
BTG,False,False,False,True,False,False,False,True,False,True,1
ULCC,True,False,True,False,False,False,True,False,False,False,1
RENX,False,True,False,True,False,False,False,False,True,True,2
OPRX,False,False,False,True,False,False,False,True,True,True,1
DARE,False,True,False,False,False,False,False,False,False,False,1
PYXS,False,True,True,True,False,True,False,False,True,False,3
DNN,False,False,False,True,False,False,False,True,False,False,1
ITRG,False,False,True,True,False,True,False,True,False,True,2
AARD,False,True,False,True,False,False,False,False,True,False,2
NRXP,False,False,False,True,False,False,False,False,False,True,1
SDEV,False,True,False,True,False,False,False,False,True,False,2
RWAY,False,False,False,True,False,False,False,True,True,False,1
GROY,False,False,False,True,False,False,False,True,False,True,1
TTEC,False,False,True,True,False,True,True,True,True,False,2
RUBI,False,True,False,True,False,False,False,False,False,True,2
QS,False,True,False,False,False,False,False,False,False,False,1
STIM,False,True,False,True,False,False,False,False,True,False,2
SILO,False,True,False,False,False,False,False,False,False,False,1
EDIT,False,False,False,True,False,False,False,True,True,True,1
CATX,False,True,False,True,False,False,False,True,False,False,2
GORO,False,True,True,False,True,False,True,False,False,False,2
SVRA,False,True,False,True,False,False,False,True,False,False,2
RNW,False,True,False,True,False,False,False,True,True,True,2
CERS,False,False,False,True,False,False,False,True,True,True,1
PSTV,False,True,False,True,False,False,False,False,False,True,2
HPK,False,False,False,True,False,False,False,True,False,False,1
ZNTL,False,True,False,True,False,False,False,True,True,False,2
BTBD,False,True,False,True,False,False,False,False,True,True,2
SLNH,False,False,False,False,False,False,False,False,False,False,0
INDP,False,True,False,True,False,False,False,False,False,True,2
DXST,False,True,False,True,False,False,False,False,True,True,2
ASM,False,False,False,True,False,False,False,True,False,False,1
HCWB,False,False,False,True,False,False,False,False,False,True,1
FUFU,False,False,False,False,False,False,False,False,False,False,0
XHLD,False,True,False,True,False,False,False,False,True,False,2
BTQ,False,False,False,True,False,False,False,False,False,True,1
VFF,False,False,False,True,False,False,False,True,True,True,1
PLUG,False,False,False,True,False,False,False,False,False,True,1
MIMI,False,True,False,False,False,False,False,False,False,False,1
NAMM,False,False,False,True,False,False,False,False,False,True,1
STXS,False,True,False,False,False,False,False,False,False,False,1
ACRS,False,True,False,True,False,False,False,True,True,False,2
SNDL,True,True,False,True,False,False,False,True,False,False,2
URG,False,False,False,True,False,False,False,False,False,True,1
GERN,False,False,False,True,False,False,False,True,True,False,1
VRRM,True,True,True,True,True,False,True,False,False,True,3
FFAI,False,True,False,False,False,False,False,False,False,False,1
ENTX,False,True,False,True,False,False,False,False,True,False,2
BCHT,False,False,False,True,False,False,False,False,False,True,1
TOP,True,True,False,True,False,False,False,False,True,False,2
LWLG,False,False,False,True,False,False,False,False,False,True,1
