Ticker,grupo,bid,ask,usd90d,spread,usd_M
JBDI,split,1.11,1.26,144235,12.66,0.14
JAGU,REM,1.5,1.55,162829,3.28,0.16
WIMI,REM,1.2,1.25,216003,4.08,0.22
HCTI,REM,1.16,1.2,257588,3.39,0.26
USIO,REM,2.09,2.14,300402,2.36,0.3
INVE,REM,2.72,2.75,583507,1.1,0.58
BTMD,REM,2.14,2.2,629071,2.76,0.63
GRCE,REM,2.04,2.08,646388,1.94,0.65
CRDL,REM,1.22,1.23,667873,0.82,0.67
NRXS,REM,6.19,6.49,754550,4.73,0.75
FIEE,REM,2.99,3.07,759554,2.64,0.76
DMAC,SOB,6.42,6.46,1335220,0.62,1.34
ENGS,SOB,2.61,2.64,1817329,1.14,1.82
YYGH,split,1.24,1.25,1862313,0.8,1.86
SEER,SOB,2.08,2.09,2251356,0.48,2.25
BYRN,SOB,4.43,4.46,3245522,0.67,3.25
AMIX,split,3.46,3.48,13047654,0.58,13.05
