Ticker,usd,RelVol,Eco,RSI,SMA20,A,B,C,assim,n_sinais
JAGU,217029.97651326619,1.3356052257186037,1.4154844830946183,39.24329390825788,-7.249779864983852,False,False,True,1.2606344722934826,1
TOP,495904.62865383725,1.5678574336817208,5.423719076725368,54.41953667588106,-1.0318949343339545,True,False,True,1.452781605778503,2
NRXS,893972.8586370578,1.4089208592612184,1.0,31.561797770757295,-12.628381310574277,True,False,True,1.1401125753749475,2
FIEE,644439.0103753033,11.01648309689286,5.332420904012444,41.63427872861101,-10.419474806177142,True,False,False,37.470468742032196,1
WIMI,289591.8426110132,1.4663066758221277,1.0,34.69515550246122,-9.24560408394781,True,False,True,1.3858579161251188,2
INVE,711594.2980674324,2.364433646917037,1.6388793938202972,32.60695130663896,-7.560731507597119,True,False,True,1.5937657285058517,2
HCTI,437457.9121551002,3.121969193063815,1.8886845628494182,35.03182980097809,-12.359550561797771,True,False,False,3.9099663871631254,1
DTI,751541.1211393384,1.5299085776300756,1.596061641949895,50.30157615169857,3.2927379341452623,True,False,True,1.3071968467576742,2
CRDL,634906.4394287036,1.7065311531342415,3.607076788583983,50.023215373541284,1.715903060321966,True,False,True,1.3236669645880397,2
BTMD,569351.0688798302,2.406622454146345,1.0,41.25679614342616,-10.428100987925347,True,False,True,1.3090578171342757,2
GRCE,722412.5995494804,4.35875236744629,1.0,28.68705812259131,-12.916056102156148,True,False,True,1.1748090615332833,2
PYPD,932164.296683749,2.173868859980962,5.117685972602976,41.94705047573962,-14.85809682804674,True,False,True,1.2505475843658675,2
ZTG,884510.7628468892,1.5026358398107027,1.0,50.92332732616787,-1.6985905312612792,True,False,True,16.006411199897144,2
DCX,598551.0894785176,18.655199029598872,1.5823884059950795,48.15701902238348,18.92570446962438,True,True,False,22.830938385302137,2
USIO,254279.2752705689,1.5102713592125343,2.1169799338665176,46.24975802663858,-9.425287356321832,True,False,True,1.237831154040504,2
