Ticker,usd,RelVol,Eco,RSI,SMA20,A,B,C,assim,n_sinais
SEER,2087203.3691088373,1.777326410256393,15.982835032083704,55.498810032727235,0.3618817852834688,True,False,True,4.471538589260983,2
ULCC,28521188.913733993,1.2935483901651312,1.048185912104732,50.656266642265955,-2.2593135596406078,False,True,False,1.1311114570977256,1
SNDL,2944580.500018767,1.4185454451726036,1.6236845475383874,34.87252304562115,-7.156673114119927,True,False,True,1.18219862296875,2
VRRM,35401707.926351435,3.825422712107015,1.0,58.245393304396565,20.304299109512325,True,True,True,1.7440873687235239,3
SOUN,226626664.51664928,1.5457976903247335,1.0689918890962091,33.99205608961752,-11.809074382083306,False,False,False,1.0512467786642508,0
HTZ,53838697.23792234,1.5299848456272918,1.6992508884080033,27.564552226413667,-13.449080072557674,True,False,True,1.8625074002190034,2
RBBN,2402142.7029979476,1.9417179713927426,1.4430336841612939,46.9255347165665,0.3896401558560747,True,True,False,1.2470705343473196,2
GAU,6417882.360653126,2.1379033610998377,1.0,39.94430005116553,-5.046120455778624,True,False,True,1.1339628519867935,2
GTE,2513142.0375414984,1.3772877754658543,1.2624916520200316,47.719641546213985,1.5506232897537053,False,False,True,1.059385238390188,1
ACB,2997704.889971775,1.3128575195827379,1.2422519380013421,45.41540428505703,1.4869888475836257,False,True,True,1.0566973825429755,2
GRAB,180688629.27031416,1.3780663871902932,1.1954671744576586,38.759148591349856,-8.56986899563319,True,False,True,1.0703969608026067,2
TLRY,19110853.594757143,3.2379650260688924,1.0,31.70067056047057,-6.491680337473616,True,False,True,1.0760775830218856,2
ALLO,16373085.191756494,1.5606894444495907,1.1500622532158347,44.133422794468096,-5.161121299449833,True,False,True,1.1619392054152131,2
UROY,8918170.4299278,2.281209701868165,1.1193419540101832,54.759968576404376,8.243279449852636,True,True,False,1.151573912123252,2
BOOM,2178525.396851499,1.6945322624581947,1.0,31.18159449565026,-12.524209167204647,True,False,True,1.5829468503456026,2
AQST,8082796.010574062,1.3484558207792512,1.1814933020909761,34.04316856624486,-10.26360067302302,True,False,True,1.2307475191526285,2
STLA,125336100.82519779,1.8375063234687217,1.0,51.610506604120566,5.024027959807764,True,True,True,1.0533838130634452,3
CCO,17166645.37769756,1.9729503748482928,1.0,46.12274591294001,-0.37359900373598043,True,False,True,1.3523810109351286,2
ABEO,7380910.6596567435,1.3843286183640575,1.5266245531379006,47.861465410344834,-5.4843358871273455,True,False,True,1.1481426042164014,2
ALVO,2630710.6393218376,4.158327804174284,1.0,54.08336903750089,5.216095380029806,True,True,True,1.182190478797927,3
HDSN,2953744.2846723585,1.2176656655975302,1.7447382951052772,43.57416374322794,-5.547468866246175,True,False,True,1.16117442355026,2
RWT,11745362.488296466,1.3644398588051114,10.488867902630899,37.846173100150345,-4.606604158173678,True,False,True,1.7341368716473107,2
BRAI,3736352.4028686574,2.7149718978152615,8.035351908564763,44.737623177712756,-2.4347750337558316,True,False,True,6.509697976933736,2
XXI,8955744.689135548,1.2327853404088163,3.3615285624557916,28.943662084358067,-14.697519364643597,True,False,False,1.1373783417951229,1
EPRX,2112779.522123712,2.4402390616493497,1.1487317291066206,42.27998658629446,-7.088942494747519,True,False,True,1.308562309206678,2
OPK,4687683.538021422,2.6934533293412266,3.756772078657912,51.927103698647734,3.194103194103226,True,True,True,1.3856914938796319,3
SIGA,2442078.404661387,1.6399949219261512,3.9184533420157557,39.5040525501217,-4.174436953091398,True,True,True,1.2642236772136186,3
AVIR,1623265.876190887,2.136508961869939,1.8759199857445683,46.708026873090155,-3.739972913845213,True,False,True,1.1201147516647176,2
FIP,5150589.327104934,1.4018450618419878,1.0,32.935058095817666,-12.48987151290658,True,False,True,1.1253797886682686,2
ALT,11313831.060086587,2.1258087287037704,2.0650368270141626,50.149384558859246,-1.4013169002194847,True,False,True,1.247925206234237,2
WHWK,2100496.6797092534,1.472331370880512,1.4494230708456597,38.321145806271296,-6.153846153846143,True,False,True,1.41100130037575,2
UPB,4276378.787413599,1.2259065386891685,1.15179019801011,35.295771133917796,-9.635581870726728,True,False,True,1.0277053419479276,2
BHC,11526624.483512778,1.6089314673016832,1.0,46.61515887971457,-0.9628610729023324,False,False,True,1.233247046172115,1
CLVT,15852697.808553817,1.6263451912714022,2.2965061336737493,46.965440084622706,-5.223716111968269,True,True,True,1.3670820462856048,3
BRSP,7782529.459408286,2.1475374944375205,1.269950523764959,30.387752171040574,-6.305631031574988,True,False,True,1.270430092509248,2
NKLR,1892998.1441392023,1.2885069403253862,1.5803025529799195,46.6103658239577,-0.9620253164556836,True,False,True,1.1371632062321553,2
MBI,2258536.8002615245,1.6095423732214733,1.2682855071723556,28.616677465339563,-13.524787421787266,True,False,True,1.226861438906739,2
XFOR,2617830.5181112676,1.3525905708882093,1.2926931341161056,51.33774313912214,1.3813204916994115,False,True,True,1.4330612979045976,2
JBLU,155175747.59520677,3.0791096320177407,1.0,53.84768300913353,2.2067363530777984,True,True,True,1.1120951562424342,3
RIG,214046488.2781303,1.3966659846599463,1.1849717099430281,38.608877048306866,-3.920807453416131,True,False,True,1.078388886321173,2
DMAC,1323058.1838841876,1.3986970598903683,1.6900808313597837,37.60952944562349,-13.228530239582604,True,False,True,1.1192470838050992,2
ENGS,1548134.384715262,1.5357731487351478,3.563269850569803,48.61480672520829,-8.501506711715844,True,False,True,1.5037186715933673,2
NG,28561709.833141286,1.2111734858663812,5.2474516937859965,42.36906545172719,-1.421639567549171,True,True,False,1.2723295594006199,2
EVLV,16407420.64793334,1.277323135931704,1.3574634254466749,44.67272123700549,-4.417463187806758,True,False,True,1.1420639676446067,2
EU,4586814.741905789,1.2349405916269212,1.2429202818636913,33.042673979388226,-13.68078175895765,False,False,True,1.2167377674066324,1
